nombre|ubicacion|ubicacion_detalle|ubicacion_referencia|distrito|region|fecha_inicio|fecha_inicio_alt|fecha_fin|descripcion|precio|organizador|asistiran|me_interesa|veces_compartido|imagen|enlace_evento
PROFUGOS VIVE LA EXPERIENCIA SODA & CERATI|PLAZA ARENA|||SANTIAGO DE SURCO|LIMA|31/12/2019 23:59:00|||||||||https://cdn.teleticket.com.pe/tlk_imagenes/tlk_repositorio/comunicado_cancelacion_profugos.png|https://teleticket.com.pe/evento/V7222
CAZZU|BARRANCO ARENA|||BARRANCO|LIMA|31/12/2019 23:59:00|||||||||https://cdn.teleticket.com.pe/tlk_imagenes/tlk_repositorio/comunicado_cancelacion_cazzufecha-3.png|https://teleticket.com.pe/evento/V7178
BIG SOTO - LIMA TRAP FEST 2019|...|||BARRANCO|LIMA|31/12/2019 23:58:00||||||||||https://teleticket.com.pe/evento/V6770
FIESTA DE FIN DE AÑO 2020|CLUB LAWN TENNIS|||JESUS MARIA|LIMA|31/12/2019 23:00:00|||Fiesta de año nuevo - ven y goza de la ultima fiesta del año con las orquestas del momento, este 31 de diciembre en el lawn tennis de jesus maria para que ustedes tengan un día increible y una experiencia inolvidable. No te puedes perder este gran evento junto a desde cuba la charanga habanera, el bomboncito deivys orosco, la orquesta de las multitudes hey hey camguey, la orquesta femenina de moda lady soul y la gran orquesta internacional de cristian dominguez.||||||https://cdn.teleticket.com.pe/tlk_imagenes/tlk_repositorio/19.12.06-FIESTA-DE-FIN-DE-AÑO-2020.gif|https://teleticket.com.pe/evento/V7376
EL GRAN BAILE AÑO NUEVO ARMONÍA 10 RIO LOS MIRLOS|CENTRO DE CONVENCIONES BARRANCO|||BARRANCO|LIMA|31/12/2019 22:00:00|||Peruvian Shows y HTA Entertainment presentan: ¡EL GRAN BAILE DE AÑO NUEVO! Recibe el Año Nuevo 2020 junto a tres de los más grandes exponentes e íconos de la Cumbia Norteña, Amazónica y Rock Peruano. La primerísima ARMONÍA 10 de Piura, nos deleitará con sus más grandes éxitos de oro en un show extendido por más de 03 horas, el grupo RIO, íconos del Rock Peruano nos harán vibrar y cantar todos sus más grandes éxitos y LOS MIRLOS, los creadores de la Cumbia Amazónica, nos harán bailar hasta el amanecer en el Centro de Convenciones BARRANCO. ¡PREPÁRATE PARA DISFRUTAR MÁS DE 08 HORAS DE SHOW EN VIVO ESTE 31 DICIEMBRE DESDE LAS 9PM!||||||https://cdn.teleticket.com.pe/tlk_imagenes/tlk_repositorio/19.11.28-Formato-El-Gran-Baile-Año-Nuevo-3.gif|https://teleticket.com.pe/evento/V7340
BIENVENIDO 2020 - GRUPO 5|CENTRO RECREACIONAL LA ESTANCIA DE MONSEFÚ|||CHICLAYO|CHICLAYO|31/12/2019 22:00:00|||Ven y recibe el 2020 con la mejor fiesta de fin de año en centro recreacional la estancia de monsefu con la participación del grupo de oro del Perú, grupo 5.||||||https://cdn.teleticket.com.pe/tlk_imagenes/tlk_repositorio/19.12.02-Bienvenido-2020-Grupo5.gif|https://teleticket.com.pe/evento/V7349
FIESTA VIP - CORCHO LIBRE|CENTRO DE CONVENCIONES SCENCIA|||LA MOLINA|LIMA|31/12/2019 22:00:00|||Recibe el Año 2020 en La Molina. Presentación exclusiva, TODA LA NOCHE. De Monsefu Orq. CANDELA de VICTOR YAIPEN. Mas de 15 musicos en escena con lo mejor de la cumbia, salsa y merengue. MESAS NUMERADAS, CENA, COTILLON y CORCHO LIBRE. Ambiente exclusivo, amplia pista de baile.||||||https://cdn.teleticket.com.pe/tlk_imagenes/tlk_repositorio/19.11.18-FIESTA-VIP-CORCHO-LIBRE-2.gif|https://teleticket.com.pe/evento/V7304
DAVID BISBAL - GIRA 2019|CENTRO DE CONVENCIONES BARRANCO ARENA|||BARRANCO|LIMA|31/12/2019 21:00:00||||||||||https://teleticket.com.pe/evento/V7220
FIESTA DE FIN DE AÑO CON ROBERTO BLADES|CHOZA NAUTICA DE LOS OLIVOS|||LOS OLIVOS|LIMA|31/12/2019 21:00:00|||"Activate events presenta la gran fiesta de fin de año en la choza náutica de los olivos junto a "" Roberto Blades"". Ven y disfruta de uno de los mejores exponentes de la salsa y sus más populares temas como “ya no regreso contigo"", ""lágrimas"", ""casco"", ""señora"", ""maría"", ""detalles"", ""el artista famoso"", ""poquita fe"", ""flor dormida"", ""llorarás"", ""si estuvieras conmigo"", ""víctima de afecto"", ""no te puedo apartar"". Una noche espectacular que no te puedes perder."||||||https://cdn.teleticket.com.pe/tlk_imagenes/tlk_repositorio/19.11.26-FORMATO-AÑO-NUEVO-CON-RUBEN-BLADES-2.gif|https://teleticket.com.pe/evento/V7330
EL REVENTONAZO AÑO NUEVO ARMONÍA 10 DEYVIS OROSCO|VIERA CONVENCIONES|||INDEPENDENCIA|LIMA|31/12/2019 21:00:00|||"Recibe el Año Nuevo 2020 cantando y bailando los más grandes éxitos de la CUMBIA PERUANA en el ¡REVENTONAZO DE AÑO NUEVO! en Viera Convenciones. Prepárate para gozar toda la noche sin parar junto a dos grandes exponentes de la CUMBIA: DEYVIS OROSCO y su grupo NÉCTAR Internacional nos deleitará con sus más grandes clásicos ""El arbolito, Pecadora, Ojitos Hechiceros, No Te Creas Tan Importante y muchos más"". Para cerrar con broche de oro los representantes de la Cumbia Norteña; La Primerísima ARMONÍA 10 de Piura nos hará bailar y cantar hasta el amanecer con sus inolvidables éxitos de oro ""Amor de Estudiante, Herido Corazón, El Cervecero y muchos más"" ¿quién no quiere empezar el año con ""Mil Botellas""? ¡PRÉPARATE PARA ARRANCAR EL AÑO GOZANDO SIN PARAR AL RITMO DE LA CUMBIA!"||||||https://cdn.teleticket.com.pe/tlk_imagenes/tlk_repositorio/19.12.02-FORMATO-EL-REVENTONAZO-AÑO-NUEVO-ARMONÍA-10-DEYVIS-OROSCO.gif|https://teleticket.com.pe/evento/V7344
FIESTÓN AÑO NUEVO 2020 LOS DESTELLOS|PACHAS VIP|||LOS OLIVOS|LIMA|31/12/2019 20:00:00|||Este 31 de Dic La Mejor Fiesta de Año Nuevo en el FIESTON AÑO NUEVO CUMBIAMBERA 2020 con LOS DESTELLOS de EDITH DELGADO Primer Grupo Tropical del Perú y sus Éxitos originales; Elsa, Muchachita Celosa, Traicionera, El baile del lorito, Quinceañera, Jardín de Amor, Eres mentirosa, y América Latina y sus Invitados LOS DOLTONS con sus Éxitos originales: El último beso, La noche, Hombre solitario, la bamba, Visión de Otoño, SONIDO AMAZÓNICO y sus Éxitos La Danza del petrolero, Vasilando con Ayahuasca, Mi cariñito, Cumbia Inca, Ya se ha muerto mi abuelo etc. CUARTETO con las cumbias pegaditas: chofercito mañoso, Tan bella y presumida, Costeñita, etc. Artistas sorpresas, Cotillon, Hora loca; Cena, Cerveza, Gaseosa, Parking Gratis y seguridad toda la noche Los Mejores del Año LOS DESTELLOS y su cumbia peruana Psicodelica nos harán Romper el piso ¡Ahí nos vemos!||||||https://cdn.teleticket.com.pe/tlk_imagenes/tlk_repositorio/19.11.28-FIESTÓN-AÑO-NUEVO-2020-LOS-DESTELLOS-xlsx-Acceso-directo.gif|https://teleticket.com.pe/evento/V7341
LA NOCHE DE LOS GRANDES DE LA MÚSICA|CENTRO DE CONVENCIONES BIANCA|||BARRANCO|LIMA|28/12/2019 20:00:00|||La Noche de los Grandes de la Música reune a los mejores imitadores de los más grandes exponentes de la música hispanoamericana, una noche para corear y recordar las canciones más exitosas de Leonardo Favio (Carlos Pérez), Isabel Pantoja (Ysabel Cedeño), José José (Sandro Matos), Rocío Dúrcal (Marisol Rojas) y Vicente Fernández (Cristhian Bernal), acompañados de Orquesta y Coros en en vivo (La Próxima Banda), en un evento que promete ser inolvidable.||||||https://cdn.teleticket.com.pe/tlk_imagenes/tlk_repositorio/19.05.12-LA-NOCHE-DE-LOS-GRANDES-DE-LA-MUSICA.gif|https://teleticket.com.pe/evento/V7365
